"","name","lon","lat","address","zip"
"71","Gen\u00e8ve - Villereuse",6.1588299,46.2007706,"Rue de la Terrassi\u00e8re 29","1207"
"72","Gen\u00e8ve Montbrillant",6.1404602,46.2198335,"Rue de Montbrillant 67","1207"
"73","Givisiez",7.1370774,46.8119849,"Impasse de la Colline 2","1762"
"74","Gland",6.2756695,46.4170516,"Rue de Mauverney 22","1196"
"75","Gland",6.2724682,46.4149466,"Avenue du Mont-Blanc 34","1196"
"76","Gradelle",6.1812063,46.2054501,"Chemin de la Gradelle 10","1224"
"77","Grand-Lancy - Palettes",6.1223706,46.1749719,"Av. des Communes-R\u00e9unies 52","1212"
"78","Granges - Paccot",7.1489877,46.8289721,"Route d'Englisberg 15b","1763"
"79","Granges-Paccot",7.1516595,46.8219444,"Route de Morat 130","1763"
"80","Granges-Paccot - Centre",7.1539379,46.8209959,"route d'Agy 2","1763"
"81","Gstaad",7.2825683,46.4782457,"Untergstaadstrasse 3","3780"
"82","G\u00fcmligen",7.5042952,46.93282,"Turbenweg 1","3073"
"83","Haute-Nendaz",7.2918787,46.182229,"Lake Placid, rte des Ecluses 23","1997"
"84","Bi\u00e8re",6.3321026,46.5380702,"Le Centre","1145"
"85","Bursins",6.2972544,46.4446744,"La C\u00f4te / A1 Sud","1183"
"86","Bussigny",6.5530928,46.5475444,"Rue de la Gare 2","1030"
"87","Bussigny",6.551894,46.5476654,"Place de la Gare 1","1030"
"88","Hilterfingen",7.6586756,46.7353444,"Staatsstrasse 16b","3652"
"89","Hinterkappelen (Provisorium)",7.3793063,46.965837,"Kappelenring 11c","3032"
"90","H\u00fcnibach",7.6454474,46.7451794,"Staatsstrasse 134","3626"
"91","Ittigen",7.4852772,46.9742162,"Talweg 6","3063"
"92","Ittigen - Grauholz",7.4778766,46.9897356,"Grauholz-S\u00fcd A1","3063"
"93","Kerzers",7.1939798,46.9737039,"Murtenstrasse 15","3210"
"94","Konolfingen",7.6212211,46.8754023,"Thunstrasse 21","3510"
"95","K\u00f6niz - Bl\u00e4uacker",7.414453,46.9235082,"Bl\u00e4uacker 10","3098"
"96","La Roche",7.1419287,46.6980151,"Haut de Scherwil 2","1634"
"97","La Tour de Tr\u00eame",7.0758334,46.6004826,"Route de Pra-Riond 2","1635"
"98","La Tour-de-Peilz",6.8579143,46.4525336,"Place des Anciens-Foss\u00e9s 10B","1814"
"99","La Tour-de-Tr\u00eame",7.0751656,46.6007953,"Rte de Pra-Riond 4","1635"
"100","La Vall\u00e9e",6.2305712,46.6058382,"Rue de la Gare 7","1347"
"101","Lancy-Onex",6.1100997,46.1885214,"Rue des Bossons 78-80","1213"
"102","Langnau i.E.",7.787702,46.9398058,"Schlossstrasse 1a","3550"
"103","Lausanne",6.605965,46.517094,"Av. des Figuires 32","1007"
"104","Lausanne - Bellevaux",6.6333517,46.5376065,"Route Aloys-Fauquez 97","1018"
"105","Lausanne - Bergi\u00e8res",6.618466,46.5314548,"Avenue des Bergi\u00e8res 50","1004"
"106","Lausanne - Chailly",6.6515176,46.5273163,"Avenue de la Vallonnette 2","1012"
"107","Lausanne - Closelet",6.6327124,46.5148689,"Avenue d'Ouchy 11","1006"
"108","Lausanne - Cour",6.6176221,46.5157505,"Avenue de Cour 36","1007"
"109","Lausanne - La Borde",6.6346501,46.5256689,"Rue de la Borde 3B","1018"
"110","Lausanne - La Harpe",6.62609,46.5124378,"Avenue de la Harpe 17","1007"
"111","Lausanne - La Maladi\u00e8re",6.6073333,46.5170701,"Av. des Figuiers 22","1007"
"112","Lausanne - La Sallaz",6.6467899,46.5333108,"Route de Berne 1","1010"
"113","Lausanne - Maupas",6.6230282,46.5253972,"Rue du Maupas 69","1004"
"114","Lausanne - Montbenon",6.6258276,46.5195069,"Chemin de Mornex 36","1003"
"115","Lausanne - M\u00e9tropole",6.6269854,46.5227583,"Rue des Terreaux 25","1003"
"116","Lausanne - Ouchy",6.624761,46.5080922,"Avenue de Rhodanie 2","1007"
"117","Lausanne - Pontaise",6.6283222,46.5304639,"Avenue Jomini 11","1018"
"118","Lausanne - Saint-Paul",6.615942,46.5277032,"Avenue d'Echallens 63","1004"
"119","Lausanne - S\u00e9velin",6.6166202,46.5216627,"Av. de S\u00e9velin 2 Ab","1007"
"120","Lausanne - Valmont",6.655375,46.5354753,"Route d'Oron 37","1010"
"121","Lavaux",6.7105858,46.5051209,"Restoroute de Lavaux","1091"
"122","Le Bouveret",6.8606288,46.3773421,"En Bellossy","1897"
"123","Le Ch\u00e2ble",7.2140344,46.080919,"Route de Verbier 15","1934"
"124","Le Lignon",6.0963765,46.2034469,"Place du Lignon 29 A","1219"
"125","Le Lignon",6.1094413,46.2064893,"Avenue de l'Ain 5","1219"
"126","Leuk",7.6342235,46.3166844,"Konsumgenossenschaft","3953"
"127","Leukerbad",7.6252028,46.377942,"Kantonstrasse","3954"
"128","Leysin",7.0155421,46.3452121,"Route de la Cit\u00e9 16","1854"
"129","Leytron",7.2085967,46.1872356,"Giro Union","1912"
"130","M Boudry",6.8405634,46.9505063,"Avenue du Coll\u00e8ge 37","2017"
"131","M-Express Bulle",7.05392,46.6192389,"Place de la Gare","1630"
"132","M-Express Fribourg Gare",7.1500941,46.8033304,"Rue Louis-d'Affry 2","1701"
"133","M-Express Pont-Rouge",6.1274789,46.1872348,"Esplanade de Pont-Rouge 2","1212"
"134","MP Aigle",6.9670583,46.3170714,"Rue du Rhone 7","1860"
"135","MP La Sarraz",6.5094894,46.6539794,"Chemin des Pr\u00e9s-Mor\u00e9s 2","1315"
"136","Marly - Centre",7.1612389,46.7761541,"Route des Pralettes 1","1723"
"137","Martigny",7.0858975,46.1057968,"Rue des Avouillons 3","1920"
"138","Martigny",7.078928,46.1058182,"Avenue de la gare 53","1920"
"139","Martigny - Manoir",7.0718577,46.1017023,"Rue du Manoir 1","1920"
"140","Martigny Finettes",7.0869748,46.1054118,"Rue des Avouillons 1","1920"
"141","Martigny Quartz Center",7.0765592,46.1117763,"Avenue de Fully 63","1920"
"142","Meyrin",6.0826195,46.2319199,"Avenue de Feuillasse 24","1217"
"143","Meyrin",6.0783775,46.2273525,"Rte de Meyrin 248","1217"
"144","Meyrin",6.0547036,46.2340918,"Rte de Meyrin 372","1217"
"145","Mies",6.1671648,46.2961134,"Route Suisse 3","1295"
"146","Montagny",6.6213952,46.7879937,"En Chamard","1442"
"147","Montagny",6.6206996,46.788334,"En Chamard 16","1442"
"148","Monthey - M Central",6.9522265,46.2535582,"Avenue de la Gare 36","1870"
"149","Montreux",6.9100946,46.4324309,"Place du March\u00e9 6","1820"
"150","Montreux",6.9053644,46.4394305,"Avenue Claude Nobs 6","1820"
"151","Montreux",6.9103016,46.4358712,"Avenue des Alpes 74","1820"
"152","Morges",6.4948939,46.509724,"Rue de la gare 19","1110"
"153","Morges",6.512351,46.5175234,"Route de Lausanne 73","1110"
"154","Moudon",6.8005522,46.6695393,"Avenue de Pr\u00e9ville","1510"
"155","Muri bei Bern - Bike World",7.503635,46.9261433,"Feldstrasse 30","3073"
"156","Murten/Morat",7.1227066,46.9300105,"Bernstrasse 18","3280"
"157","M\u00e9zi\u00e8res",6.7698099,46.5963744,"Route de la Croix d'Or 2","1083"
"158","M\u00fcnsingen",7.5601405,46.8731986,"Bahnhofplatz 5","3110"
"159","Neuch\u00e2tel - Cadolles",6.9247704,46.9982008,"Rue du Plan 28","2000"
"160","Neuch\u00e2tel - H\u00f4pital",6.929815,46.991987,"Rue de l'H\u00f4pital 12","2000"
"161","Neydens (F)",6.0976331,46.123435,"500, route des Envignes 74","74 160"
"162","Neyruz",7.0655105,46.7671371,"Place de la Gare 10","1740"
"163","Noville",6.9209862,46.388792,"Route du Simplon","1845"
"164","Noville",6.9204954,46.3864173,"Route du Simplon24","1845"
"165","Nyon",6.2167268,46.3824876,"Impasse de Champ-Colin 12","1260"
"166","Nyon - La Combe",6.2348109,46.3827028,"Rue de la Mor\u00e2che 6","1260"
"167","Nyon - Porte de Nyon",6.2211689,46.38904,"chemin de la Fontaine 1","1260"
"168","Onex",6.0977005,46.1822931,"Rte de Chancy 142","1213"
"169","Onex",6.1035615,46.1846747,"Route de Chancy 113","1213"
"170","Orbe",6.5313631,46.7237876,"Rue des Terreaux 22","1350"
"171","Oron-la-Ville",6.8257176,46.5719556,"Route de Lausanne 2","1610"
"172","Ostermundigen",7.4959824,46.9569316,"Bernstrasse 114","3072"
"173","Outlet Roche",6.9335161,46.3544176,"Chemin Vers le Stand","1852"
"174","Outlet Romanel",6.6061476,46.5738718,"rte de Neuch\u00e2tel 10","1032"
"175","Paudex",6.6733338,46.5062795,"Route du Simplon 20","1094"
"176","Payerne",6.9396282,46.8201631,"Rue du Temple 19","1530"
"177","Payerne",6.9397961,46.8196551,"Rue de la Gare 14","1530"
"178","Carouge",6.1407522,46.1834886,"Rue du March\u00e9 16","1227"
"179","Carouge - Acacias",6.1376221,46.1914417,"Rue Gustave-Revilliod 4","1227"
"180","Carouge - MParc La Praille",6.1343696,46.1844407,"Avenue Vibert 32","1227"
"181","Peseux",6.8895441,46.9859094,"Rue J\u00e4mes-Paris 4","2034"
"182","Plaffeien",7.2910651,46.7397917,"Obere Matte 9","1716"
"183","Plan-les-Ouates",6.1155683,46.167632,"Route de Saint-Julien 176","1228"
"184","Plan-les-Ouates",6.11076,46.1648588,"Route de Saint-Julien 185","1228"
"185","Popup M-Budget gare Lausanne",6.6282054,46.5164091,"Rue du Simplon 32","1006"
"186","Porte de Versoix",6.1674765,46.2744374,"Chemin de l'ancien p\u00e9age 1","1290"
"187","Prilly",6.6077373,46.5332121,"Route de Cossonay 9","1008"
"188","Prilly",6.6027559,46.5274181,"Route de Renens 8","1008"
"189","Prilly - Malley",6.6028429,46.526852,"Chemin du Viaduc 1","1008"
"190","Prilly - ch. du Viaduc",6.6028735,46.527401,"Ch. du Viaduc 1","1008"
"191","Prilly - rte de Cossonay",6.6011857,46.537932,"Rte de Cossonay 66","1008"
"192","Pr\u00e9verenges",6.5166645,46.5188722,"Chemin du Vuasset 2","1028"
"193","Puidoux",6.769391,46.4922982,"Chemin de Publoz 11","1070"
"194","Pully",6.6596672,46.5116743,"Chemin du Pr\u00e9-de-la-Tour 3","1009"
"195","Renens",6.5852658,46.5339363,"Rue du Silo 7","1020"
"196","Renens - Florissant",6.5977745,46.5309348,"Avenue de Florissant 38","1020"
"197","Renens - M\u00e9tropole",6.580878,46.5385453,"Rue de la M\u00e8bre 9","1020"
"198","Renens OBI",6.5855766,46.5332369,"Avenue du Silo 11","1020"
"199","Renens Silo",6.5864409,46.5329068,"Rue du Silo 11","1020"
"200","Rolle",6.3383807,46.4611,"Av. de la Gare 17","1180"
"201","Rolle",6.3350193,46.4627709,"Route de la Vall\u00e9e 7","1180"
"202","Romanel-sur-Lausanne",6.6130138,46.5590513,"En F\u00e9lezin","1032"
"203","Romont",6.9126508,46.6926707,"Avenue de la Gare 7","1680"
"204","R\u00e9chy",7.4944589,46.2617504,"Place Pranniviers 8","3966"
"205","Sainte-Croix",6.5032791,46.819495,"Rue de l'Industrie 21","1450"
"206","Savi\u00e8se",7.3519659,46.2502976,"Centre Commercial du Stade","1965"
"207","Schwarzenburg",7.339902,46.8177012,"Freiburgstrasse 5b","3150"
"208","Sembrancher",7.1446967,46.0791549,"Rue de la Chapalette 1","1933"
"209","Shell Meyrin-Parc",6.0848783,46.2305986,"Avenue de Mategnin 45","1217"
"210","Shell Relais du St.Bernard",7.0605196,46.1264947,"Relais du St-Bernard A9","1920"
"211","Sierre",7.5291519,46.292358,"Avenue G\u00e9n\u00e9ral Guisan","3960"
"212","Sierre Rossfeld",7.5133829,46.2814938,"Rte des Lacustres","3960"
"213","Sion",7.3452206,46.2290537,"Route de Lausanne 100","1950"
"214","Sion - Le Ritz",7.3595336,46.2358562,"Avenue Ritz 31","1950"
"215","Sion - M\u00e9tropole",7.356213,46.2286124,"Avenue de France 14-20","1950"
"216","Sion - Tourbillon Center",7.3843456,46.2314201,"Avenue Grand-Champsec 30","1950"
"217","Sion Outlet",7.3785208,46.2281227,"Rue du Man\u00e8ge 2","1950"
"218","Spiez - Terminus",7.6817159,46.6857824,"Bahnhofstrasse","3700"
"219","St-Maurice",7.0052498,46.2147953,"Av. du Simplon 15","1890"
"220","St. Niklaus",7.8064848,46.1810239,"Eyastrasse 1","3924"
"221","Steffisburg",7.6335904,46.7810832,"Oberdorfstrasse 33","3612"
"222","Steffisburg",7.6245157,46.76586,"Bernstrasse 39","3613"
"223","Steg",7.7453717,46.3147018,"Bahnhofstrasse","3940"
"224","Steg",7.750871,46.3062985,"Kantonsstrasse 30","3940"
"225","Sugiez",7.1238781,46.9665241,"Route du P\u00e9age 31a","1786"
"226","Susten",7.6407791,46.3114821,"Sustenstrasse 5","3952"
"227","Taesch",7.77679,46.0709528,"Neue Kantonstrasse","3929"
"228","Thierrens",6.7550064,46.7044032,"Rue du Coll\u00e8ge 6","1410"
"229","Thoiry (F)",5.9941326,46.2286354,"CC Val Thoiry","01710"
"230","Thun",7.6275516,46.7542958,"Frutigenstrasse 18","3600"
"231","Thun - B\u00e4lliz",7.6266358,46.7601164,"B\u00e4lliz 2","3600"
"232","Thun - D\u00fcrrenast",7.6261582,46.7450418,"Frutigenstrasse 60","3604"
"233","Thun - Oberland",7.614778,46.7447598,"Talackerstrasse 62","3604"
"234","Thun - Panorama Center",7.6053619,46.7441475,"Weststrasse 14","3604"
"235","Thun - Weststrasse",7.6076245,46.7449484,"Weststrasse 10","3600"
"236","Th\u00f4nex",6.19969,46.193039,"Rue de Gen\u00e8ve 92","1226"
"237","Th\u00f4nex",6.2128684,46.1986526,"Route d'Ambilly 3","1226"
"238","Uetendorf",7.5741096,46.7739279,"Dorfstrasse 21","3661"
"239","VOI Bern - Fellergut",7.3902179,46.9453512,"M\u00fchledorfstrasse 15","3018"
"240","VOI Bern - Fischerm\u00e4tteli",7.4185558,46.9413645,"K\u00f6nizstrasse 60","3008"
"241","VOI Bern - Kramgasse",7.4497459,46.9481109,"Kramgasse 54","3011"
"242","VOI Bern - Schosshalde",7.4629318,46.9453775,"Schossshaldenstrasse 16","3006"
"243","VOI Bern - Spiegel",7.433499,46.9264088,"Chasseralstrasse 156","3095"
"244","VOI Bern - Viktoriastrasse",7.4545541,46.9536364,"Viktoriastrasse 49","3013"
"245","VOI Boll",7.5479454,46.9546925,"Kernstrasse 9","3067"
"246","VOI Gen\u00e8ve-Cirque",6.1397642,46.2010565,"Place du Cirque 2","1204"
"247","VOI Meyrin - Les Vergers",6.0668592,46.2309568,"3, place de la Diversit\u00e9","1217"
"248","VOI Steffisburg",7.6161447,46.773617,"Bahnhofstrasse 87","3613"
"249","VOI Wabern",7.4523149,46.9286391,"Seftigenstrasse 259","3084"
"250","VOI Wichtrach",7.5753497,46.850993,"Dorfplatz 1","3114"
"251","Vallorbe",6.3777456,46.7117213,"Grand-Rue 23","1337"
"252","Verbier",7.2232795,46.0966164,"Les Arcades","1936"
"253","Vernier - Arcenter",6.0812106,46.2151057,"Route de Peney 2-4","1214"
"254","Vernier Outlet",6.0869554,46.2170639,"Route de Vernier 184","1214"
"255","Versoix",6.1658024,46.2797694,"Chemin Jean-Baptiste Vandelle 1","1290"
"256","Vevey - Midi Coindet",6.8401817,46.4636235,"Av. Gustave Coindet 11","1800"
"257","Vevey Des 2 Gares",6.8421961,46.464429,"Rue des Moulins 5 b","1800"
"258","Villars-Ste-Croix",6.5589149,46.5663916,"Route de Cossonay 3","1029"
"259","Villars-s/Gl\u00e2ne - Cormanon",7.1335773,46.7937778,"Rue du centre 4","1752"
"260","Villars-sur-Gl\u00e2ne",7.1228992,46.7988222,"rte de Moncor 8","1752"
"261","Villars-sur-Ollon",7.0441609,46.3012515,"Rue Centrale 99","1884"
"262","Vionnaz",6.8985242,46.3135922,"Route du L\u00e9man 33","1895"
"263","V\u00e9troz",7.259816,46.2154523,"Rue de la Lizerne 7","1963"
"264","Wabern",7.4580293,46.9235631,"Seftigenstrasse 350","3084"
"265","Wabern - Chly Wabere",7.4597094,46.9225103,"Seftigenstrasse 368","3084"
"266","Worb",7.5649883,46.9266974,"Richigenstrasse 1","3076"
"267","Yverdon",6.6494873,46.7647855,"route de Lausanne 20","1400"
"268","Yverdon - M\u00e9tropole",6.6357622,46.7812351,"Rue de Neuch\u00e2tel 3","1400"
"269","Yverdon Sud",6.6501591,46.7665642,"Rue de Lausanne 10","1400"
"270","Yvonand",6.743063,46.7996515,"Rue des Vergers","1462"
"271","Carouge - Vibert",6.1344054,46.1824507,"Avenue Vibert 29","1227"
"272","Zermatt",7.7481512,46.0217113,"Hofmattstrasse 12","3920"
"273","Zollikofen",7.4570099,46.9933993,"Bernstrasse 103","3052"
"274","Zweisimmen",7.3712741,46.5539847,"Saanenstrasse","3770"
"275","Cointrin",6.1073222,46.2253308,"Av. Louis-Casa\u00ef 74/76","1216"
"276","Gd Saconnex - Le Pommier",6.1195597,46.2285152,"Rue Sonnex 20","1218"
"277","Gen\u00e8ve - Balexert",6.1129757,46.2187738,"Avenue Louis-Casa\u00ef 27","1211"
"278","Gen\u00e8ve - Balexert",6.1129989,46.2189827,"Av. Louis Casa\u00ef 27","1209"
"279","Avry Centre",7.0781119,46.7876479,"Route de Matran 9","1754"
"280","Avry-devant-Pont",7.0853634,46.681995,"Restoroute de la Gruy\u00e8re","1644"
"281","Bavois-Alpes",6.570611,46.6739849,"Restoroute de Bavois","1372"
"282","Bavois-Jura",6.5693753,46.6736156,"Restoroute de Bavois","1372"
"283","Belfaux",7.1131443,46.8259234,"route de Lossy 16b","1782"
"284","Belp",7.4926529,46.8964728,"Steinbachstrasse 28","3123"
"285","Bern - Bachm\u00e4tteli",7.3900576,46.9392241,"Bottigenstrasse 7","3018"
"286","Bern - Bahnhof",7.4401642,46.949378,"Bahnhofplatz 10","3011"
"287","Bern - Bahnhof Take Away",7.4395076,46.9488819,"Bahnhofplatz 10","3011"
"288","Bern - Bethlehem",7.3832855,46.9475326,"Riedbachstrasse 10","3027"
"289","Bern - Breitenrain",7.4532328,46.9580156,"Breitenrainstrasse 11","3013"
"290","Bern - Bubenberg",7.4379673,46.9474381,"Bubenbergplatz 8","3011"
"291","Bern - B\u00fcmpliz",7.3965641,46.9488786,"B\u00fcmplizstrasse 8","3027"
"292","Bern - Christoffel",7.4401581,46.9475739,"Christoffelunterf\u00fchrung","3011"
"293","Bern - Eggh\u00f6lzli",7.475067,46.9368899,"Eggh\u00f6lzlistrasse 1 / 1a","3006"
"294","Bern - Eggh\u00f6lzli",7.4751852,46.9368988,"Eggh\u00f6lzlistrasse 1","3006"
"295","Bern - Eigerplatz",7.4320705,46.9399808,"Seftigenstrasse 1","3007"
"296","Bern - Fellerstrasse",7.384876,46.9464,"Fellerstrasse 33","3027"
"297","Bern - Freudenberg",7.4727611,46.9454091,"Giacomettistrasse 15","3006"
"298","Bern - Kirchenfeld",7.4531633,46.9421839,"Thunstrasse 18","3005"
"299","Bern - Lorraine",7.4465984,46.9559292,"Dammweg 9","3013"
"300","Bern - Marktgasse",7.4448371,46.9482654,"Marktgasse 46","3011"
"301","Bern - Marktgasse Fachmarkt",7.445796,46.9481395,"Marktgasse 28-32","3011"
"302","Bern - Murifeld",7.4811263,46.9395518,"Jupiterstrasse 15","3015"
"303","Bern - St\u00f6ckacker",7.3992866,46.944202,"Bethlehemstrasse 110","3018"
"304","Bern - Wankdorf",7.4659375,46.9658677,"Winkelriedstrasse 10","3014"
"305","Bern - Wankdorf MParc",7.4589773,46.9654266,"Wankdorffeldstrasse 90","3014"
"306","Bern - Welle 7",7.4369117,46.9480604,"Schanzenstrasse 5","3000"
"307","Bern - Westside",7.3743954,46.9455311,"Gilberte-de-Courgenay-Platz 4","3027"
"308","Bern - Westside",7.3706941,46.9433611,"Riedbachstrasse 104","3027"
"309","Bern - Winkelried",7.4639574,46.9658664,"Wankdorffeldstrasse 71","3014"
"310","Bern - Z\u00e4hringer",7.4336574,46.9553183,"Z\u00e4hringerstrasse 43","3012"
"311","Bern Westfl\u00fcgel",7.3953525,46.9467745,"Bethlehemstrasse 40","3027"
"312","Bex",7.015988,46.2504679,"Rue Centrale 43-45","1880"
